[2026-06-01 15:20:21] [admin] [Admin_Config] [Target: fields_config.json | 管理員動態抽換了系統顯示的白名單查詢欄位] [127.0.0.1]
[2026-06-01 15:20:24] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:20:28] [admin] [Search] [Target: 第 25 代 | 執行關鍵字檢索 (模式: cache)] [127.0.0.1]
[2026-06-01 15:20:30] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:23:15] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:23:17] [admin] [Search] [Target: 第 25 代 | 執行關鍵字檢索 (模式: cache)] [127.0.0.1]
[2026-06-01 15:23:20] [admin] [View] [Target: MyLibrary | 瀏覽我的書房] [127.0.0.1]
[2026-06-01 15:23:38] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:23:39] [admin] [View_Theme] [Target: ai_tech | 瀏覽主題館: AI 前瞻技術集錦 (第1頁)] [127.0.0.1]
[2026-06-01 15:23:47] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:23:49] [admin] [View_Theme] [Target: history_100 | 瀏覽主題館: 建院百年史政回顧 (第1頁)] [127.0.0.1]
[2026-06-01 15:23:51] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:26:46] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:26:49] [admin] [Search] [Target: 第 25 代 | 執行關鍵字檢索 (模式: cache)] [127.0.0.1]
[2026-06-01 15:26:54] [admin] [View] [Target: MyLibrary | 瀏覽我的書房] [127.0.0.1]
[2026-06-01 15:26:57] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:27:01] [admin] [Search] [Target: 第 25 代 | 執行關鍵字檢索 (模式: cache)] [127.0.0.1]
[2026-06-01 15:27:02] [admin] [Search] [Target: 第 25 代 | 執行關鍵字檢索 (模式: cache)] [127.0.0.1]
[2026-06-01 15:27:06] [admin] [View] [Target: MyLibrary | 瀏覽我的書房] [127.0.0.1]
[2026-06-01 15:27:07] [admin] [Search] [Target: 第 25 代 | 執行關鍵字檢索 (模式: cache)] [127.0.0.1]
[2026-06-01 15:27:09] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:27:13] [admin] [Search] [Target: 第 25 代 | 執行關鍵字檢索 (模式: cache)] [127.0.0.1]
[2026-06-01 15:27:14] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:30:49] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:30:52] [admin] [View_Theme] [Target: ai_tech | 瀏覽主題館: Test Title (第1頁)] [127.0.0.1]
[2026-06-01 15:30:56] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:31:03] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:31:04] [admin] [Search] [Target: 第 25 代 | 執行關鍵字檢索 (模式: cache)] [127.0.0.1]
[2026-06-01 15:31:14] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:31:19] [admin] [Search] [Target: N/A | 瀏覽全系統清單 (模式: cache)] [127.0.0.1]
[2026-06-01 15:48:19] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:48:22] [admin] [Logout] [Target: 系統管理員 | 使用者登出] [127.0.0.1]
[2026-06-01 15:48:29] [admin] [Login] [Target: admin | 登入成功] [127.0.0.1]
[2026-06-01 15:48:29] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:48:34] [admin] [Search] [Target: 第 25 代 | 執行關鍵字檢索 (模式: cache)] [127.0.0.1]
